Customer ID,snapshot_date
12362,2010-05-31
12490,2010-05-31
12533,2010-05-31
12636,2010-05-31
12682,2010-05-31
12758,2010-05-31
12836,2010-05-31
12913,2010-05-31
12921,2010-05-31
12931,2010-05-31
13078,2010-05-31
13085,2010-05-31
13097,2010-05-31
13110,2010-05-31
13381,2010-05-31
13394,2010-05-31
13442,2010-05-31
13526,2010-05-31
13585,2010-05-31
13590,2010-05-31
13599,2010-05-31
13635,2010-05-31
13648,2010-05-31
13748,2010-05-31
13758,2010-05-31
13767,2010-05-31
13819,2010-05-31
14040,2010-05-31
14061,2010-05-31
14108,2010-05-31
14110,2010-05-31
14156,2010-05-31
14341,2010-05-31
14478,2010-05-31
14543,2010-05-31
14654,2010-05-31
14865,2010-05-31
14871,2010-05-31
14911,2010-05-31
15005,2010-05-31
15051,2010-05-31
15061,2010-05-31
15265,2010-05-31
15311,2010-05-31
15326,2010-05-31
15362,2010-05-31
15380,2010-05-31
15413,2010-05-31
15485,2010-05-31
15601,2010-05-31
15662,2010-05-31
15712,2010-05-31
15719,2010-05-31
15750,2010-05-31
15793,2010-05-31
15808,2010-05-31
15945,2010-05-31
15967,2010-05-31
15984,2010-05-31
15998,2010-05-31
16011,2010-05-31
16167,2010-05-31
16321,2010-05-31
16329,2010-05-31
16393,2010-05-31
16563,2010-05-31
16620,2010-05-31
16701,2010-05-31
16763,2010-05-31
16887,2010-05-31
17056,2010-05-31
17063,2010-05-31
17191,2010-05-31
17238,2010-05-31
17243,2010-05-31
17246,2010-05-31
17345,2010-05-31
17428,2010-05-31
17519,2010-05-31
17592,2010-05-31
17611,2010-05-31
17700,2010-05-31
17742,2010-05-31
17804,2010-05-31
17865,2010-05-31
17961,2010-05-31
17984,2010-05-31
17998,2010-05-31
18037,2010-05-31
18087,2010-05-31
18102,2010-05-31
12346,2010-06-30
12358,2010-06-30
12359,2010-06-30
12362,2010-06-30
12417,2010-06-30
12422,2010-06-30
12435,2010-06-30
12437,2010-06-30
12439,2010-06-30
12440,2010-06-30
12443,2010-06-30
12455,2010-06-30
12471,2010-06-30
12472,2010-06-30
12487,2010-06-30
12490,2010-06-30
12510,2010-06-30
12523,2010-06-30
12533,2010-06-30
12539,2010-06-30
12540,2010-06-30
12557,2010-06-30
12577,2010-06-30
12583,2010-06-30
12586,2010-06-30
12600,2010-06-30
12609,2010-06-30
12613,2010-06-30
12636,2010-06-30
12664,2010-06-30
12681,2010-06-30
12682,2010-06-30
12683,2010-06-30
12708,2010-06-30
12709,2010-06-30
12712,2010-06-30
12714,2010-06-30
12747,2010-06-30
12748,2010-06-30
12758,2010-06-30
12759,2010-06-30
12779,2010-06-30
12785,2010-06-30
12820,2010-06-30
12826,2010-06-30
12835,2010-06-30
12836,2010-06-30
12839,2010-06-30
12842,2010-06-30
12843,2010-06-30
12854,2010-06-30
12867,2010-06-30
12872,2010-06-30
12913,2010-06-30
12917,2010-06-30
12920,2010-06-30
12921,2010-06-30
12924,2010-06-30
12926,2010-06-30
12931,2010-06-30
12933,2010-06-30
12934,2010-06-30
12937,2010-06-30
12941,2010-06-30
12948,2010-06-30
12949,2010-06-30
12956,2010-06-30
12957,2010-06-30
12970,2010-06-30
12971,2010-06-30
12975,2010-06-30
12978,2010-06-30
12979,2010-06-30
12980,2010-06-30
12989,2010-06-30
12992,2010-06-30
13000,2010-06-30
13001,2010-06-30
13004,2010-06-30
13008,2010-06-30
13013,2010-06-30
13019,2010-06-30
13021,2010-06-30
13025,2010-06-30
13026,2010-06-30
13037,2010-06-30
13039,2010-06-30
13042,2010-06-30
13047,2010-06-30
13050,2010-06-30
13070,2010-06-30
13074,2010-06-30
13077,2010-06-30
13078,2010-06-30
13081,2010-06-30
13082,2010-06-30
13085,2010-06-30
13087,2010-06-30
13089,2010-06-30
13091,2010-06-30
13093,2010-06-30
13097,2010-06-30
13110,2010-06-30
13111,2010-06-30
13114,2010-06-30
13136,2010-06-30
13141,2010-06-30
13148,2010-06-30
13154,2010-06-30
13162,2010-06-30
13173,2010-06-30
13174,2010-06-30
13175,2010-06-30
13178,2010-06-30
13190,2010-06-30
13199,2010-06-30
13202,2010-06-30
13203,2010-06-30
13204,2010-06-30
13206,2010-06-30
13208,2010-06-30
13211,2010-06-30
13225,2010-06-30
13234,2010-06-30
13266,2010-06-30
13267,2010-06-30
13269,2010-06-30
13289,2010-06-30
13313,2010-06-30
13317,2010-06-30
13319,2010-06-30
13327,2010-06-30
13329,2010-06-30
13373,2010-06-30
13381,2010-06-30
13382,2010-06-30
13393,2010-06-30
13394,2010-06-30
13403,2010-06-30
13405,2010-06-30
13408,2010-06-30
13410,2010-06-30
13415,2010-06-30
13416,2010-06-30
13418,2010-06-30
13426,2010-06-30
13427,2010-06-30
13442,2010-06-30
13448,2010-06-30
13455,2010-06-30
13457,2010-06-30
13462,2010-06-30
13468,2010-06-30
13473,2010-06-30
13481,2010-06-30
13485,2010-06-30
13487,2010-06-30
13491,2010-06-30
13495,2010-06-30
13498,2010-06-30
13510,2010-06-30
13520,2010-06-30
13526,2010-06-30
13531,2010-06-30
13542,2010-06-30
13557,2010-06-30
13564,2010-06-30
13571,2010-06-30
13576,2010-06-30
13577,2010-06-30
13585,2010-06-30
13589,2010-06-30
13590,2010-06-30
13591,2010-06-30
13599,2010-06-30
13611,2010-06-30
13623,2010-06-30
13635,2010-06-30
13641,2010-06-30
13643,2010-06-30
13648,2010-06-30
13654,2010-06-30
13666,2010-06-30
13668,2010-06-30
13672,2010-06-30
13679,2010-06-30
13680,2010-06-30
13693,2010-06-30
13694,2010-06-30
13711,2010-06-30
13727,2010-06-30
13728,2010-06-30
13733,2010-06-30
13735,2010-06-30
13736,2010-06-30
13740,2010-06-30
13748,2010-06-30
13753,2010-06-30
13756,2010-06-30
13758,2010-06-30
13767,2010-06-30
13768,2010-06-30
13769,2010-06-30
13770,2010-06-30
13777,2010-06-30
13781,2010-06-30
13782,2010-06-30
13786,2010-06-30
13798,2010-06-30
13800,2010-06-30
13807,2010-06-30
13813,2010-06-30
13819,2010-06-30
13823,2010-06-30
13825,2010-06-30
13831,2010-06-30
13847,2010-06-30
13848,2010-06-30
13855,2010-06-30
13871,2010-06-30
13872,2010-06-30
13875,2010-06-30
13883,2010-06-30
13890,2010-06-30
13895,2010-06-30
13902,2010-06-30
13905,2010-06-30
13921,2010-06-30
13931,2010-06-30
13941,2010-06-30
13946,2010-06-30
13948,2010-06-30
13952,2010-06-30
13953,2010-06-30
13958,2010-06-30
13979,2010-06-30
13983,2010-06-30
13984,2010-06-30
13993,2010-06-30
13995,2010-06-30
13999,2010-06-30
14000,2010-06-30
14003,2010-06-30
14030,2010-06-30
14031,2010-06-30
14032,2010-06-30
14037,2010-06-30
14040,2010-06-30
14042,2010-06-30
14043,2010-06-30
14051,2010-06-30
14055,2010-06-30
14057,2010-06-30
14061,2010-06-30
14062,2010-06-30
14063,2010-06-30
14080,2010-06-30
14081,2010-06-30
14083,2010-06-30
14085,2010-06-30
14087,2010-06-30
14092,2010-06-30
14095,2010-06-30
14099,2010-06-30
14105,2010-06-30
14106,2010-06-30
14107,2010-06-30
14108,2010-06-30
14110,2010-06-30
14113,2010-06-30
14119,2010-06-30
14122,2010-06-30
14123,2010-06-30
14130,2010-06-30
14133,2010-06-30
14134,2010-06-30
14135,2010-06-30
14136,2010-06-30
14151,2010-06-30
14156,2010-06-30
14159,2010-06-30
14161,2010-06-30
14171,2010-06-30
14173,2010-06-30
14191,2010-06-30
14204,2010-06-30
14211,2010-06-30
14215,2010-06-30
14238,2010-06-30
14239,2010-06-30
14258,2010-06-30
14277,2010-06-30
14285,2010-06-30
14286,2010-06-30
14290,2010-06-30
14291,2010-06-30
14293,2010-06-30
14295,2010-06-30
14298,2010-06-30
14299,2010-06-30
14302,2010-06-30
14307,2010-06-30
14329,2010-06-30
14341,2010-06-30
14347,2010-06-30
14396,2010-06-30
14401,2010-06-30
14404,2010-06-30
14408,2010-06-30
14415,2010-06-30
14422,2010-06-30
14425,2010-06-30
14440,2010-06-30
14454,2010-06-30
14460,2010-06-30
14466,2010-06-30
14467,2010-06-30
14468,2010-06-30
14471,2010-06-30
14478,2010-06-30
14479,2010-06-30
14480,2010-06-30
14483,2010-06-30
14484,2010-06-30
14494,2010-06-30
14505,2010-06-30
14507,2010-06-30
14512,2010-06-30
14514,2010-06-30
14519,2010-06-30
