Customer ID,snapshot_date,recency_days,frequency_180d,monetary_180d,aov_180d,previous_spend,recent_spend,spend_trend,previous_orders,recent_orders,frequency_trend,previous_aov,recent_aov,aov_trend,first_purchase_date,customer_age_days,lifetime_orders,lifetime_spend,future_revenue,current_revenue,revenue_change_pct,decline_label
12490,2010-05-31,23.0,6.0,1943.23,323.87166666666667,905.52,1037.71,1.1459824189416026,3.0,3.0,1.0,301.84,345.90333333333336,1.1459824189416028,2009-12-01 12:52:00,180,7,2547.17,509.0,1037.71,-0.5094968729221073,1
12533,2010-05-31,69.0,1.0,437.96999999999997,437.96999999999997,0.0,437.96999999999997,1.0,0.0,1.0,1.0,0.0,437.96999999999997,1.0,2009-12-01 11:50:00,180,2,1367.8899999999999,0.0,437.96999999999997,-1.0,1
12682,2010-05-31,24.0,9.0,5325.2,591.6888888888889,3178.62,2146.58,0.6753182198564157,6.0,3.0,0.5,529.77,715.5266666666666,1.3506364397128314,2009-12-01 09:28:00,180,10,5751.5,2200.33,2146.58,0.025039830800622387,0
12758,2010-05-31,31.0,2.0,1970.91,985.455,0.0,1970.91,1.0,0.0,2.0,1.0,0.0,985.455,1.0,2009-12-01 14:40:00,180,3,4425.59,1590.1100000000001,1970.91,-0.19321024298420522,0
12836,2010-05-31,40.0,4.0,1438.44,359.61,600.35,838.09,1.3960023319730157,2.0,2.0,1.0,300.175,419.045,1.3960023319730157,2009-12-01 14:19:00,180,5,1862.31,937.45,838.09,0.11855528642508563,0
12913,2010-05-31,12.0,4.0,1365.78,341.445,682.77,683.01,1.0003515092930269,2.0,2.0,1.0,341.385,341.505,1.0003515092930269,2009-12-01 12:18:00,180,5,1903.74,0.0,683.01,-1.0,1
12921,2010-05-31,6.0,13.0,8319.86,639.9892307692309,3612.87,4706.99,1.3028395707567668,6.0,7.0,1.1666666666666667,602.145,672.4271428571428,1.1167196320772286,2009-12-01 13:43:00,180,14,8580.86,2776.3,4706.99,-0.4101750800405354,1
12931,2010-05-31,12.0,22.0,18269.760000000002,830.4436363636364,1809.95,16459.81,9.094068896930855,6.0,16.0,2.6666666666666665,301.65833333333336,1028.738125,3.4102758363490704,2009-12-01 11:46:00,180,23,19429.760000000002,4802.92,16459.81,-0.7082031931109776,1
13078,2010-05-31,3.0,13.0,6639.63,510.7407692307692,3471.9,3167.73,0.9123909098764366,7.0,6.0,0.8571428571428571,495.9857142857143,527.955,1.0644560615225094,2009-12-01 09:06:00,180,14,7269.96,3579.2799999999997,3167.73,0.12991953228337003,0
13097,2010-05-31,12.0,10.0,3858.4900000000002,385.84900000000005,1237.22,2621.27,2.118677357301046,3.0,7.0,2.3333333333333335,412.4066666666667,374.46714285714285,0.9080045817004482,2009-12-01 13:31:00,180,11,4409.820000000001,1443.57,2621.27,-0.44928603310608983,1
13381,2010-05-31,6.0,2.0,2147.0699999999997,1073.5349999999999,962.99,1184.08,1.2295870154414894,1.0,1.0,1.0,962.99,1184.08,1.2295870154414894,2009-12-01 15:19:00,180,3,2164.47,939.4399999999999,1184.08,-0.2066076616444835,0
13394,2010-05-31,7.0,5.0,2035.5700000000002,407.11400000000003,1314.88,720.69,0.5481032489656851,3.0,2.0,0.6666666666666666,438.29333333333335,360.345,0.8221548734485277,2009-12-01 11:58:00,180,6,2340.1,745.06,720.69,0.033814816356547046,0
13585,2010-05-31,20.0,1.0,353.42,353.42,0.0,353.42,1.0,0.0,1.0,1.0,0.0,353.42,1.0,2009-12-01 14:56:00,180,2,366.17,318.37,353.42,-0.09917378756154153,0
13590,2010-05-31,47.0,3.0,1021.5,340.5,862.5,159.0,0.18434782608695652,2.0,1.0,0.5,431.25,159.0,0.36869565217391304,2009-12-01 13:37:00,180,4,1388.78,486.33,159.0,2.058679245283019,0
13599,2010-05-31,2.0,5.0,2267.67,453.534,1379.5900000000001,888.08,0.6437274842525678,2.0,3.0,1.5,689.7950000000001,296.0266666666667,0.4291516561683785,2009-12-01 12:30:00,180,6,2909.1200000000003,0.0,888.08,-1.0,1
13648,2010-05-31,37.0,2.0,689.31,344.655,310.44,378.87,1.2204290684190182,1.0,1.0,1.0,310.44,378.87,1.2204290684190182,2009-12-01 18:13:00,180,3,952.4000000000001,451.82,378.87,0.1925462559717053,0
13758,2010-05-31,31.0,4.0,2686.07,671.5175,1999.55,686.52,0.34333725088144834,3.0,1.0,0.3333333333333333,666.5166666666667,686.52,1.030011752644345,2009-12-01 10:06:00,180,5,3682.17,0.0,686.52,-1.0,1
13767,2010-05-31,17.0,11.0,4975.78,452.34363636363634,3484.34,1491.44,0.42804089153182523,7.0,4.0,0.5714285714285714,497.7628571428572,372.86,0.7490715601806942,2009-12-01 10:52:00,180,12,6173.58,3017.9900000000002,1491.44,1.0235410073486029,0
14040,2010-05-31,3.0,11.0,3349.16,304.4690909090909,1835.96,1513.2,0.824200962983943,5.0,6.0,1.2,367.192,252.20000000000002,0.6868341358199526,2009-12-01 12:14:00,180,12,3982.4900000000002,2217.5,1513.2,0.46543748347872055,0
